City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.65,115.3333,55.99,95,79,1.01,AU,1619990932
Upernavik,72.7868,-56.1549,31.28,79,16,7.23,GL,1619991129
George Town,5.4112,100.3354,80.01,89,20,3.44,MY,1619991293
Grado,43.388,-6.0743,51.01,71,20,3.44,ES,1619991360
Boguchar,49.9358,40.545,59.25,79,96,7.63,RU,1619991360
Souillac,-20.5167,57.5167,75.2,94,20,4.61,MU,1619991568
Locri,38.2414,16.2623,63.0,82,75,16.11,IT,1619991361
Laguna,38.421,-121.4238,84.0,17,1,23.02,US,1619991168
Dingle,10.9995,122.6711,77.11,89,63,7.78,PH,1619990973
Albany,42.6001,-73.9662,54.0,92,100,1.99,US,1619991512
Abu Samrah,35.3029,37.1841,70.3,39,17,5.95,SY,1619991223
Tuatapere,-46.1333,167.6833,48.0,91,32,5.01,NZ,1619991518
Kasongo-Lunda,-6.4667,16.8167,69.46,98,83,1.3,CD,1619991362
Port Alfred,-33.5906,26.891,64.13,75,0,12.1,ZA,1619991570
Mar del Plata,-38.0023,-57.5575,68.0,83,75,2.3,AR,1619991389
Mataura,-46.1927,168.8643,48.0,91,57,5.01,NZ,1619991570
Bubaque,11.2833,-15.8333,77.81,72,100,23.33,GW,1619991571
Kindu,-2.95,25.95,71.01,94,96,1.32,CD,1619991364
Kismayo,-0.3582,42.5454,81.41,82,23,13.33,SO,1619991364
Zhangye,38.9342,100.4517,47.61,22,52,6.53,CN,1619991285
Vila Franca do Campo,37.7167,-25.4333,60.8,82,20,8.05,PT,1619991011
Mossamedes,-15.1961,12.1522,78.1,60,0,5.73,AO,1619991385
Fort Nelson,58.8053,-122.7002,55.4,33,40,10.36,CA,1619991297
Makakilo City,21.3469,-158.0858,82.4,65,75,4.61,US,1619990987
Hilo,19.7297,-155.09,77.0,73,90,6.91,US,1619991573
Bluff,-46.6,168.3333,48.0,91,21,5.01,NZ,1619991196
Qaanaaq,77.484,-69.3632,33.44,65,100,2.37,GL,1619991358
Ushuaia,-54.8,-68.3,35.6,80,75,21.85,AR,1619991373
Novy Urengoy,66.0833,76.6333,30.94,93,100,13.62,RU,1619991366
Bousso,10.4795,16.7117,87.82,34,45,1.57,TD,1619991111
Rikitea,-23.1203,-134.9692,77.25,78,66,15.5,PF,1619991469
Mayo,38.8876,-76.5119,82.99,30,1,11.5,US,1619991029
Carnarvon,-24.8667,113.6333,62.6,67,100,8.05,AU,1619991574
Hobart,-42.8794,147.3294,53.6,82,75,3.44,AU,1619990924
Krutinka,56.0055,71.5113,50.47,71,97,9.75,RU,1619991368
Saskylakh,71.9167,114.0833,27.86,87,100,6.69,RU,1619991575
Asău,46.4333,26.4,60.01,50,97,5.28,RO,1619991008
Buala,-8.145,159.5921,82.17,76,93,1.32,SB,1619991222
Kaeo,-35.1,173.7833,57.99,86,0,1.01,NZ,1619991262
Barrow,71.2906,-156.7887,17.6,73,90,3.44,US,1619991576
Punta Arenas,-53.15,-70.9167,44.6,76,75,13.8,CL,1619991097
Yellowknife,62.456,-114.3525,30.2,37,1,10.36,CA,1619991577
Mmathubudukwane,-24.6,26.4333,55.4,71,0,5.75,BW,1619991370
Cape Town,-33.9258,18.4232,66.2,45,0,10.36,ZA,1619991548
Chui,-33.6971,-53.4616,64.67,75,76,6.44,UY,1619991578
Eilat,29.5581,34.9482,84.2,28,0,6.91,IL,1619991371
Vila Velha,-20.3297,-40.2925,73.4,78,75,6.91,BR,1619991152
Ribeira Grande,38.5167,-28.7,64.4,68,20,5.75,PT,1619991579
Fortuna,40.5982,-124.1573,63.0,77,20,17.27,US,1619990985
Katsuura,35.1333,140.3,57.2,41,75,9.22,JP,1619991185
Hualmay,-11.0964,-77.6139,70.23,77,17,9.66,PE,1619991083
Lavrentiya,65.5833,-171.0,22.86,78,90,14.45,RU,1619991581
Novobelokatay,55.7062,58.9549,45.25,84,100,2.55,RU,1619991372
Esperance,-33.8667,121.9,51.8,87,13,6.91,AU,1619991583
Atuona,-9.8,-139.0333,80.42,78,82,14.36,PF,1619990911
Bambous Virieux,-20.3428,57.7575,75.2,94,20,4.61,MU,1619991485
Mungwi,-10.1732,31.3694,60.13,97,15,5.53,ZM,1619991373
Valparaíso,-33.0393,-71.6273,60.8,77,0,4.61,CL,1619991374
Port Elizabeth,-33.918,25.5701,64.4,72,40,10.36,ZA,1619991584
Dikson,73.5069,80.5464,28.71,89,100,13.11,RU,1619991585
Vaini,-21.2,-175.2,73.4,73,90,10.36,TO,1619991585
Sopetrán,6.6703,-75.7475,57.99,100,75,6.91,CO,1619991376
Yangi Marg`ilon,40.4272,71.7189,64.4,63,93,9.22,UZ,1619991229
Udachny,66.4167,112.4,32.09,98,100,3.85,RU,1619991376
Contai,21.7786,87.7536,80.87,78,57,12.55,IN,1619991377
Talnakh,69.4865,88.3972,20.91,95,40,7.78,RU,1619991054
Belaya Gora,68.5333,146.4167,26.08,93,100,4.16,RU,1619991038
Severo-Kuril'sk,50.6789,156.125,35.13,97,100,27.63,RU,1619991587
Miandrivazo,-19.5167,45.4667,74.41,80,93,2.44,MG,1619991378
Labuan,5.2767,115.2417,80.6,83,20,1.14,MY,1619991378
Paracatu,-17.2222,-46.8747,67.66,57,41,0.45,BR,1619991262
Thompson,55.7435,-97.8558,33.8,60,40,8.05,CA,1619991588
Truro,50.2653,-5.0544,48.2,76,75,5.75,GB,1619991379
Te Anau,-45.4167,167.7167,47.62,86,55,1.32,NZ,1619991588
Hasaki,35.7333,140.8333,52.0,54,75,8.05,JP,1619991186
Libertador General San Martín,-23.8064,-64.7876,75.99,77,4,4.21,AR,1619991380
Shache,38.4167,77.2406,66.11,23,92,8.12,CN,1619991194
Winona,43.9666,-91.7668,80.6,44,75,4.61,US,1619991381
Torbay,47.6666,-52.7314,45.0,45,40,29.93,CA,1619991082
Lakeland,28.0395,-81.9498,90.0,33,40,9.22,US,1619991270
Chokurdakh,70.6333,147.9167,15.73,94,71,4.74,RU,1619991590
Kruisfontein,-34.0033,24.7314,57.99,79,0,1.99,ZA,1619991528
Mariehamn,60.0973,19.9348,30.2,86,0,3.44,AX,1619991382
Northam,51.0333,-4.2167,46.0,83,94,5.99,GB,1619991382
Caucaia,-3.7361,-38.6531,82.4,78,75,3.44,BR,1619991383
Sørland,67.667,12.6934,32.0,80,20,2.3,NO,1619990994
Saint Paul Harbor,57.79,-152.4072,41.0,87,90,17.27,US,1619991591
Ko Samui,9.5357,99.9357,85.1,72,95,10.2,TH,1619991384
Yuzhno-Kurilsk,44.0306,145.8556,36.63,90,68,6.96,RU,1619991385
Bredasdorp,-34.5322,20.0403,50.0,87,0,3.44,ZA,1619991593
Opatija,45.3392,14.3083,55.4,62,20,5.75,HR,1619991385
Iqaluit,63.7506,-68.5145,39.2,65,90,13.8,CA,1619991524
Isangel,-19.55,169.2667,80.6,78,75,5.75,VU,1619991066
Cockburn Town,21.4612,-71.1419,82.4,61,40,11.5,TC,1619990997
New Norfolk,-42.7826,147.0587,55.99,71,94,1.88,AU,1619991594
Bandarbeyla,9.4942,50.8122,83.26,74,78,6.67,SO,1619991595
Charters Towers,-20.1,146.2667,67.96,75,0,10.54,AU,1619991066
Nanortalik,60.1432,-45.2371,38.77,50,100,18.7,GL,1619991050
Ketchikan,55.3422,-131.6461,51.8,54,40,16.11,US,1619991062
Namatanai,-3.6667,152.4333,79.97,80,100,1.81,PG,1619990999
Cherskiy,68.75,161.3,23.52,74,10,4.9,RU,1619991596
Maku,39.2911,44.4521,53.98,78,34,0.69,IR,1619991388
Aksu,41.1231,80.2644,64.15,28,95,5.06,CN,1619991389
Meulaboh,4.1363,96.1285,76.46,90,99,3.85,ID,1619991597
